Theta [deg],dB(GainPhi) [] - Freq='60GHz' Phi='0deg',dB(GainPhi) [] - Freq='60GHz' Phi='90deg',dB(GainTheta) [] - Freq='60GHz' Phi='0deg',dB(GainTheta) [] - Freq='60GHz' Phi='90deg'
-180,-50.09348355,-10.42558143,-10.42558143,-50.09348355
-179,-50.42290738,-10.43505355,-10.36953599,-47.43531476
-178,-50.77979744,-10.46232211,-10.33134077,-42.79970934
-177,-51.16301022,-10.50743617,-10.31019573,-39.48385976
-176,-51.57061434,-10.57047229,-10.30514085,-37.04344355
-175,-51.999577,-10.65153497,-10.31504825,-35.14411949
-174,-52.44536473,-10.75075739,-10.33861192,-33.60532799
-173,-52.90146467,-10.86830212,-10.37433632,-32.32347781
-172,-53.35886778,-11.00436199,-10.42052598,-31.23457693
-171,-53.80561926,-11.15916111,-10.47527805,-30.29658615
-170,-54.22663726,-11.33295579,-10.53648056,-29.48049266
-169,-54.6041032,-11.5260355,-10.60181947,-28.76546168
-168,-54.91875859,-11.73872366,-10.66879776,-28.13603576
-167,-55.15227463,-11.97137814,-10.73476978,-27.58043072
-166,-55.2904012,-12.22439126,-10.79699346,-27.08945235
-165,-55.32599347,-12.49818895,-10.85270163,-26.65578174
-164,-55.26070686,-12.79322866,-10.89919155,-26.27348823
-163,-55.10457125,-13.10999534,-10.93392899,-25.93768813
-162,-54.87364911,-13.4489947,-10.95466002,-25.64429932
-161,-54.58682147,-13.81074216,-10.9595208,-25.38986082
-160,-54.26286315,-14.195746,-10.9471338,-25.17139708
-159,-53.91848111,-14.60448169,-10.91667918,-24.98631381
-158,-53.56739977,-15.03735385,-10.8679318,-24.83231638
-157,-53.22023005,-15.49464026,-10.80125894,-24.70734429
-156,-52.88478329,-15.97641053,-10.71757895,-24.60951762
-155,-52.56656333,-16.48240899,-10.61828624,-24.53709203
-154,-52.26927553,-17.01188768,-10.50515218,-24.48842009
-153,-51.99527589,-17.56337171,-10.38021364,-24.46191724
-152,-51.74593537,-18.13433557,-10.24566023,-24.45603109
-151,-51.52192082,-18.72076939,-10.10373023,-24.4692133
-150,-51.32340465,-19.31662365,-9.956621385,-24.49989339
-149,-51.15021801,-19.91315014,-9.806420437,-24.54645427
-148,-51.00196083,-20.49822241,-9.655051804,-24.60720953
-147,-50.87807985,-21.05583594,-9.504244288,-24.68038286
-146,-50.77792326,-21.56614931,-9.355513164,-24.76409033
-145,-50.70077848,-22.00655983,-9.210154543,-24.85632648
-144,-50.64589768,-22.35422916,-9.069248887,-24.95495583
-143,-50.61251465,-22.58996608,-8.933670834,-25.05771144
-142,-50.59985528,-22.70246408,-8.80410296,-25.16220258
-141,-50.60714369,-22.69116389,-8.681051652,-25.26593344
-140,-50.6336049,-22.56630811,-8.564863704,-25.36633483
-139,-50.67846525,-22.34615855,-8.45574271,-25.46080966
-138,-50.74095095,-22.05277457,-8.353764644,-25.54679245
-137,-50.82028533,-21.70809341,-8.258892276,-25.62182094
-136,-50.91568497,-21.33134926,-8.170988286,-25.68361631
-135,-51.02635505,-20.9379508,-8.08982704,-25.73016641
-134,-51.15148389,-20.53941172,-8.015105106,-25.75980485
